,id,ChannelName,ChannelValue,controllers,group,staff_type_name,keysig,defaultClef,longName,shortName,trackName,instrumentId,part_trackName,useDrumset,clef
piccolo,piccolo,[None],[72],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Piccolo,Picc.,Piccolo,wind.flutes.flute.piccolo,Piccolo,,
d♭ piccolo,db-piccolo,[None],[72],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,D♭ Piccolo,D♭ Picc.,D♭ Piccolo,wind.flutes.flute.piccolo,D♭ Piccolo,,
e♭ piccolo,eb-piccolo,[None],[72],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,E♭ Piccolo,E♭ Picc.,E♭ Piccolo,wind.flutes.flute.piccolo,E♭ Piccolo,,
flute,flute,[None],[73],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Flute,Fl.,Flute,wind.flutes.flute,Flute,,
treble flute,treble-flute,[None],[72],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Treble Flute,Tr. Fl.,Treble Flute,wind.flutes.flute,Treble Flute,,
soprano flute,soprano-flute,[None],[73],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Soprano Flute,Sop. Fl.,Soprano Flute,wind.flutes.flute,Soprano Flute,,
sub contra-alto flute,subcontra-alto-flute,[None],[73],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Sub Contra-alto Flute,Sc-a. Fl.,Sub Contra-alto Flute,wind.flutes.flute.subcontrabass,Sub Contra-alto Flute,,
alto flute,alto-flute,[None],[73],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Alto Flute,A. Fl.,Alto Flute,wind.flutes.flute.alto,Alto Flute,,
bass flute,bass-flute,[None],[73],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Bass Flute,B. Fl.,Bass Flute,wind.flutes.flute.bass,Bass Flute,,
contra-alto flute,contra-alto-flute,[None],[73],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Contra-alto Flute,C-a. Fl.,Contra-alto Flute,wind.flutes.flute.contra-alto,Contra-alto Flute,,
contrabass flute,contrabass-flute,[None],[73],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Contrabass Flute,Cb. Fl.,Contrabass Flute,wind.flutes.flute.contrabass,Contrabass Flute,,
double contrabass flute,double-contrabass-flute,[None],[73],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Double Contrabass Flute,D. Cb. Fl.,Double Contrabass Flute,wind.flutes.flute.double-contrabass,Double Contrabass Flute,,
hyperbass flute,hyperbass-flute,[None],[73],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Hyperbass Flute,Hb. Fl.,Hyperbass Flute,wind.flutes.flute.double-contrabass,Hyperbass Flute,,
traverso,traverso,[None],[73],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Traverso,Trv.,Traverso,wind.flutes.flute,Traverso,,
danso,danso,[None],[76],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,G8va,Danso,Da.,Danso,wind.flutes.danso,Danso,,G8va
piccolo oboe,piccolo-oboe,[None],[68],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Piccolo Oboe,P. Ob.,Piccolo Oboe,wind.reed.oboe.piccolo,Piccolo Oboe,,
oboe,oboe,[None],[68],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Oboe,Ob.,Oboe,wind.reed.oboe,Oboe,,
baroque oboe,baroque-oboe,[None],[69],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Baroque Oboe,Bq. Ob.,Baroque Oboe,wind.reed.oboe,Baroque Oboe,,
oboe d'amore,oboe-d'amore,[None],[68],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Oboe d'amore,Ob. d'a.,Oboe d'amore,wind.reed.oboe-damore,Oboe d'amore,,
oboe da caccia,oboe-da-caccia,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Oboe da caccia,Ob. d. ca.,Oboe da caccia,wind.reed.oboe-da-caccia,Oboe da caccia,,
english horn,english-horn,[None],[69],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,English Horn,E. Hn.,English Horn,wind.reed.english-horn,English Horn,,
bass oboe,bass-oboe,[None],[68],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,G8vb,Bass Oboe,B. Ob.,Bass Oboe,wind.reed.oboe.bass,Bass Oboe,,G8vb
piccolo heckelphone,piccolo-heckelphone,[None],[68],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,G8vb,Piccolo Heckelphone,P. Hph.,Piccolo Heckelphone,wind.reed.heckelphone.piccolo,Piccolo Heckelphone,,G8vb
heckelphone,heckelphone,[None],[68],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Heckelphone,Hph.,Heckelphone,wind.reed.heckelphone,Heckelphone,,
lupophone,lupophone,[None],[68],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,G8vb,Lupophone,Lph.,Lupophone,wind.reed.heckelphone,Lupophone,,G8vb
clarinet,clarinet,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Clarinet,Cl.,Clarinet,wind.reed.clarinet,Clarinet,,
piccolo clarinet,piccolo-clarinet,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Piccolo Clarinet,P. Cl.,Piccolo Clarinet,wind.reed.clarinet.piccolo.aflat,Piccolo Clarinet,,
soprano clarinet,soprano-clarinet,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Soprano Clarinet,S. Cl.,Soprano Clarinet,wind.reed.clarinet,Soprano Clarinet,,
c clarinet,c-clarinet,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,C Clarinet,C Cl.,C Clarinet,wind.reed.clarinet,C Clarinet,,
d clarinet,d-clarinet,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,D Clarinet,D Cl.,D Clarinet,wind.reed.clarinet,D Clarinet,,
e♭ clarinet,eb-clarinet,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,E♭ Clarinet,E♭ Cl.,E♭ Clarinet,wind.reed.clarinet.eflat,E♭ Clarinet,,
g clarinet,g-clarinet,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,G Clarinet,G Cl.,G Clarinet,wind.reed.clarinet,G Clarinet,,
b♭ clarinet,bb-clarinet,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,B♭ Clarinet,B♭ Cl.,B♭ Clarinet,wind.reed.clarinet.bflat,B♭ Clarinet,,
a clarinet,a-clarinet,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,A Clarinet,A Cl.,A Clarinet,wind.reed.clarinet.a,A Clarinet,,
alto clarinet,alto-clarinet,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Alto Clarinet,A. Cl.,Alto Clarinet,wind.reed.clarinet.alto,Alto Clarinet,,
basset clarinet,basset-clarinet,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Basset Clarinet,Ba. Cl.,Basset Clarinet,wind.reed.clarinet.basset,Basset Clarinet,,
basset horn,basset-horn,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Basset Horn,Ba. Hn.,Basset Horn,wind.reed.basset-horn,Basset Horn,,
bass clarinet,bass-clarinet,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Bass Clarinet,B. Cl.,Bass Clarinet,wind.reed.clarinet.bass,Bass Clarinet,,
b♭ bass clarinet,bb-bass-clarinet,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,B♭ Bass Clarinet,B♭ B. Cl.,B♭ Bass Clarinet,wind.reed.clarinet.bass,B♭ Bass Clarinet,,
b♭ bass clarinet (bass clef),bb-bass-clarinet-bass-clef,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,F,B♭ Bass Clarinet,B♭ B. Cl.,B♭ Bass Clarinet (Bass Clef),wind.reed.clarinet.bass,B♭ Bass Clarinet (Bass Clef),,F
a bass clarinet,a-bass-clarinet,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,A Bass Clarinet,A B. Cl.,A Bass Clarinet,wind.reed.clarinet.bass,A Bass Clarinet,,
a bass clarinet (bass clef),a-bass-clarinet-bass-clef),[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,F,A Bass Clarinet,A B. Cl.,A Bass Clarinet (Bass Clef),wind.reed.clarinet.bass,A Bass Clarinet (Bass Clef),,F
contra-alto clarinet,contra-alto-clarinet,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Contra-alto Clarinet,C-a. Cl.,Contra-alto Clarinet,wind.reed.clarinet.contra-alto,Contra-alto Clarinet,,
contrabass clarinet,contrabass-clarinet,[None],[71],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Contrabass Clarinet,Cb. Cl.,Contrabass Clarinet,wind.reed.clarinet.contrabass,Contrabass Clarinet,,
saxophone,saxophone,[None],[66],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Saxophone,Sax.,Saxophone,wind.reed.saxophone,Saxophone,,
sopranissimo saxophone,sopranissimo-saxophone,[None],[64],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Sopranissimo Saxophone,Sio. Sax.,Sopranissimo Saxophone,wind.reed.saxophone.sopraninissimo,Sopranissimo Saxophone,,
sopranino saxophone,sopranino-saxophone,[None],[64],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Sopranino Saxophone,Si. Sax.,Sopranino Saxophone,wind.reed.saxophone.sopranino,Sopranino Saxophone,,
soprano saxophone,soprano-saxophone,[None],[64],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Soprano Saxophone,S. Sax.,Soprano Saxophone,wind.reed.saxophone.soprano,Soprano Saxophone,,
aulochrome,aulochrome,[None],[64],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Aulochrome,Aul.,Aulochrome,wind.reed.saxophone.aulochrome,Aulochrome,,
mezzo-soprano saxophone,mezzo-soprano-saxophone,[None],[65],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Mezzo-Soprano Saxophone,M.S. Sax.,Mezzo-Soprano Saxophone,wind.reed.saxophone.mezzo-soprano,Mezzo-Soprano Saxophone,,
alto saxophone,alto-saxophone,[None],[65],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Alto Saxophone,A. Sax.,Alto Saxophone,wind.reed.saxophone.alto,Alto Saxophone,,
melody saxophone,melody-saxophone,[None],[66],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Melody Saxophone,Mel. Sax.,Melody Saxophone,wind.reed.saxophone.melody,Melody Saxophone,,
tenor saxophone,tenor-saxophone,[None],[66],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Tenor Saxophone,T. Sax.,Tenor Saxophone,wind.reed.saxophone.tenor,Tenor Saxophone,,
baritone saxophone,baritone-saxophone,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Baritone Saxophone,Bar. Sax.,Baritone Saxophone,wind.reed.saxophone.baritone,Baritone Saxophone,,
bass saxophone,bass-saxophone,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Bass Saxophone,B. Sax.,Bass Saxophone,wind.reed.saxophone.bass,Bass Saxophone,,
contrabass saxophone,contrabass-saxophone,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Contrabass Saxophone,Cb. Sax.,Contrabass Saxophone,wind.reed.saxophone.contrabass,Contrabass Saxophone,,
subcontrabass saxophone,subcontrabass-saxophone,[None],[67],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Subcontrabass Saxophone,Scb. Sax.,Subcontrabass Saxophone,wind.reed.saxophone.subcontrabass,Subcontrabass Saxophone,,
bassoon,bassoon,[None],[70],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,F,Bassoon,Bsn.,Bassoon,wind.reed.bassoon,Bassoon,,F
